timestamp,datetime,hashrate_khs,hashrate_avg_khs,paid_xmr,pending_xmr
1765038432,2025-12-06 17:27:12,0.07,0.05,0,0
1765038624,2025-12-06 17:30:24,0.11,0.09,0,0
1765038836,2025-12-06 17:33:56,0.20,0.16,0,0
1765039038,2025-12-06 17:37:18,0.19,0.15,0,0
1765039307,2025-12-06 17:41:47,0.20,0.16,0,0
1765039528,2025-12-06 17:45:28,0.06,0.05,0,0
1765039726,2025-12-06 17:48:46,0.26,0.22,0,0
1765039961,2025-12-06 17:52:41,0.86,0.82,0,0
1765040250,2025-12-06 17:57:30,2.57,2.53,0,0
1765040647,2025-12-06 18:04:07,6.76,4.90,0,0
1765040899,2025-12-06 18:08:19,12.29,8.61,0,0
1765041062,2025-12-06 18:11:02,13.61,10.57,0,0
1765041224,2025-12-06 18:13:44,14.24,11.80,0,0
1765041386,2025-12-06 18:16:26,13.41,11.19,0,0
1765041557,2025-12-06 18:19:17,13.85,10.38,0,0
1765041728,2025-12-06 18:22:08,12.59,8.52,0,0
1765041897,2025-12-06 18:24:57,10.51,7.50,0,0
1765042067,2025-12-06 18:27:47,9.40,7.09,0,0
1765042240,2025-12-06 18:30:40,12.14,10.64,0,0
1765042416,2025-12-06 18:33:36,15.46,14.83,0,0
1765042584,2025-12-06 18:36:24,22.17,20.95,0,0
1765042749,2025-12-06 18:39:09,24.65,22.93,0,0
1765042916,2025-12-06 18:41:56,24.22,21.62,0,0
1765043081,2025-12-06 18:44:41,24.10,20.03,0,0
1765043254,2025-12-06 18:47:34,24.61,20.99,0,0
1765043432,2025-12-06 18:50:32,22.31,18.78,0,0
1765043606,2025-12-06 18:53:26,23.84,19.60,0,0
1765043775,2025-12-06 18:56:15,24.45,18.96,0,0
1765043946,2025-12-06 18:59:06,26.78,22.49,0,0
1765044118,2025-12-06 19:01:58,26.29,21.17,0,0
1765044290,2025-12-06 19:04:50,27.72,22.49,0,0
1765044463,2025-12-06 19:07:43,24.55,19.92,0,0
1765044642,2025-12-06 19:10:42,25.41,21.34,0,0
